segment_type,segment_id,year,buffer_size,sensor_type,ndvi_mean,ndvi_std,ndwi_mean,ndwi_std,ndbi_mean,ndbi_std,ndvi_category,ndwi_category,ndbi_category
100m,1,2007,100,L7,0.13735655051616855,0.06512597620297728,-0.15150890568449174,0.058490260890554896,-0.0346937889898837,0.035111469885480556,low - lower,very low - upper,low - lower
100m,1,2007,200,L7,0.14045962786501184,0.06232029988405704,-0.1585237959600968,0.05673991417823916,-0.03921662725123258,0.043064089166196404,low - lower,very low - upper,low - lower
100m,1,2007,300,L7,0.13999360956337878,0.06538697920730271,-0.1581226841472222,0.05874550200049607,-0.03785581820972862,0.04674429914445984,low - lower,very low - upper,low - lower
100m,1,2008,100,L7,0.0898381328767795,0.060953460214779834,-0.1100885658275042,0.05842862652252281,-0.00511585291027164,0.02865899935477156,very low - upper,very low - upper,low - lower
100m,1,2008,200,L7,0.09375541576614094,0.06237859752240457,-0.11723599051782978,0.060359588644314933,-0.01123099710225182,0.03920385291517503,very low - upper,very low - upper,low - lower
100m,1,2008,300,L7,0.09437613059245116,0.06611509808992569,-0.11736257870525917,0.06325540500043489,-0.01059662720932611,0.0440267776087457,very low - upper,very low - upper,low - lower
100m,1,2009,100,L7,0.12638493618904664,0.07813184735977187,-0.15136886264162058,0.07026515330896152,-0.0281565824556412,0.04204198774049775,low - lower,very low - upper,low - lower
100m,1,2009,200,L7,0.13248137676601293,0.07257244103390531,-0.16091745570284613,0.06669850383136827,-0.03042597697349717,0.04524519838617001,low - lower,very low - upper,low - lower
100m,1,2009,300,L7,0.13374710185753919,0.07688853553352795,-0.16178133848764023,0.06958085151017765,-0.031594962354610644,0.05145390881808618,low - lower,very low - upper,low - lower
100m,1,2010,100,L7,0.13145421488502249,0.0765734967160714,-0.15502393762872646,0.06897527276376042,-0.03268475902973714,0.04161069487199568,low - lower,very low - upper,low - lower
100m,1,2010,200,L7,0.13644374528498138,0.07245070068058738,-0.16377642843079634,0.06581382298615363,-0.03496888702910434,0.045756384859835866,low - lower,very low - upper,low - lower
